10/23/22  04:42  1. Students' menu -> 1. Add new student
10/23/22  04:44  1. Students' menu -> 1. Add new student
10/23/22  04:45  1. Students' menu -> 2. Change student's data
10/23/22  04:49  1. Students' menu -> 4. Show data -> 1. Show all data
10/23/22  04:49  1. Students' menu -> 4. Show data -> 2. Searching by surname and name
10/23/22  04:51  1. Students' menu -> 4. Show data -> 2. Searching by surname and name
10/23/22  04:51  1. Students' menu -> 4. Show data -> 2. Searching by surname and name
10/23/22  04:51  1. Students' menu -> 4. Show data -> 2. Searching by surname and name
10/23/22  04:52  1. Students' menu -> 4. Show data -> 3. Searching by dormitory
10/23/22  04:53  1. Students' menu -> 4. Show data -> 4. Searching by course
10/23/22  04:53  1. Students' menu -> 4. Show data -> 4. Searching by course
10/23/22  05:01  1. Students' menu -> 1. Add new student
10/23/22  05:07  1. Students' menu -> 1. Add new student
10/23/22  05:08  1. Students' menu -> 1. Add new student
10/23/22  05:11  1. Students' menu -> 1. Add new student
